phrase	n	count	loglik	pages	proper	example	loose_key	head_key
ariana perfidia	2	3	54.37	3	False	Ariana perfidia	arian perfidi	perfidi
septuaginta episcoporum	2	4	54.31	4	False	septuaginta episcoporum	septuagint episcop	episcop
sancti albani	2	6	54.22	5	False	sancti Albani	sanct alban	alban
johannes castorius	2	4	54.11	4	True	Johannes Castorius	johann castori	castori
historiola cantabrigiae	2	3	54.09	3	False	historiola Cantabrigiae	historiol cantabrigi	cantabrigi
suffridus petrus	2	3	54.09	3	True	Suffridus Petrus	suffrid petr	petr
passionem christi	2	6	53.97	6	False	passionem Christi	passion christ	christ
marcum aurelium	2	3	53.95	3	True	Marcum Aurelium	marc aurel	aurel
bibliothecae patrum	2	4	53.81	3	False	bibliothecae patrum	bibliothec patr	patr
glastoniensis monasterii	2	5	53.79	4	False	Glastoniensis monasterii	glastoniens monasteri	monasteri
imperfecti operis	2	4	53.76	4	False	imperfecti operis	imperfect oper	oper
monasticam vitam	2	4	53.65	4	False	monasticam vitam	monastic vit	vit
arthuri regis	2	6	53.59	6	False	Arthuri regis	arthur reg	reg
sanctitatis tuae	2	4	53.55	3	False	sanctitatis tuae	sanctitat tu	tu
suffraganeos habens	2	3	53.35	1	False	suffraganeos habens	suffragane haben	haben
manuum labore	2	3	53.35	3	False	manuum labore	manu labor	labor
hisce verbis	2	5	53.34	5	False	hisce verbis	hisc verb	verb
christianus efficeretur	2	3	53.27	2	False	Christianus efficeretur	christian efficeretur	efficeretur
tabula pensili	2	3	53.14	2	False	tabula pensili	tabul pensil	pensil
germanus altissiodorensis	2	3	53.14	3	True	Germanus Altissiodorensis	german altissiodorens	altissiodorens
majore historia	2	5	53.02	4	False	majore historia	major histori	histori
constantino magno	2	4	52.83	4	False	Constantino magno	constantin magn	magn
britannicae historiae	2	5	52.7	5	False	Britannicae historiae	britannic histori	histori
floribus historiarum	2	3	52.67	3	False	floribus historiarum	flor histor	histor
bona stabularia	2	3	52.67	1	False	Bona stabularia	bon stabulari	stabulari
nicolaus harpsfeldius	2	3	52.48	3	True	Nicolaus Harpsfeldius	nicola harpsfeldi	harpsfeldi
nicolaus cantelupus	2	3	52.48	3	True	Nicolaus Cantelupus	nicola cantelup	cantelup
legionensi archiepiscopatu	2	3	52.48	2	False	Legionensi archiepiscopatu	legionens archiepiscopatu	archiepiscopatu
gestis aelfredi	2	4	52.43	4	False	gestis Aelfredi	gest aelfred	aelfred
patria constantini	2	5	52.33	5	False	patria Constantini	patri constantin	constantin
eulogii author	2	4	51.84	4	False	eulogii author	eulogi author	author
urbis romae	2	5	51.78	4	False	urbis Romae	urb rom	rom
cottonianae bibliothecae	2	3	51.62	3	False	Cottonianae bibliothecae	cottonian bibliothec	bibliothec
theodosii imperatoris	2	4	51.49	3	False	Theodosii imperatoris	theodosi imperator	imperator
petrus merssaeus	2	3	51.37	3	True	Petrus Merssaeus	petr merssae	merssae
capite sexto	2	5	51.34	5	False	capite sexto	capit sext	sext
tempore eleutherii	2	5	51.26	5	False	tempore Eleutherii	tempor eleutheri	eleutheri
sanctis apostolis	2	4	51.25	4	False	sanctis apostolis	sanct apostol	apostol
fidei catholicae	2	5	51.2	5	False	fidei Catholicae	fide catholic	catholic
antiquis temporibus	2	5	51.12	5	False	antiquis temporibus	antiqu tempor	tempor
baldoc londinensis	2	3	51.04	3	True	Baldoc Londinensis	baldoc londinens	londinens
thomas harfeldius	2	3	50.95	3	True	Thomas Harfeldius	thom harfeldi	harfeldi
ecclesiis suburbicar	2	3	50.95	3	False	ecclesiis suburbicar	ecclesi suburbicar	suburbicar
palatii magister	2	3	50.89	3	False	Palatii magister	palati magister	magister
eleutheri papae	2	4	50.76	3	False	Eleutheri papae	eleuther pap	pap
johanne cassiano	2	3	50.75	3	True	Johanne Cassiano	johann cassian	cassian
