head_key	phrase	count	pages	proper	example
christ	domini nostri jesu christi	4	4	False	Domini nostri Jesu Christi
christ	evangelium christi	3	3	False	evangelium Christi
christ	fidem christi	24	22	False	fidem Christi
christ	gratia christi	15	14	False	gratia Christi
christ	gratiam christi	6	6	False	gratiam Christi
christ	gratiae christi	4	4	False	gratiae Christi
christ	jesum christum	6	5	True	Jesum Christum
christ	jesu christi	9	8	True	Jesu Christi
christ	passionem christi	6	6	False	passionem Christi
christ	passione christi	3	2	False	passione Christi
christian	accusatoribus christianorum	3	2	False	accusatoribus Christianorum
christian	aerae christianae	6	6	False	aerae Christianae
christian	aerae nostrae christianae	3	3	False	aerae nostrae Christianae
christian	fidem christianam	5	5	False	fidem Christianam
christian	fidei christianae	3	3	False	fidei Christianae
christian	religionem christianam	5	5	False	religionem Christianam
christian	vita christiana	4	2	False	vita Christiana
chronic	minore chronico	3	3	False	minore chronico
chronic	prosper in chronico	6	6	False	Prosper in chronico
chronic	radulphus niger in chronico	3	3	False	Radulphus Niger in chronico
civ	albanus civis	3	3	False	Albanus civis
cler	omni clero	4	3	False	omni clero
codic	vulgati codices	3	3	False	vulgati codices
coenob	vetus coenobium	4	3	False	vetus coenobium
coenobi	albanensis coenobii	3	3	False	Albanensis coenobii
coenobi	lirinensis coenobii	4	3	False	Lirinensis coenobii
coepiscop	fratres et coepiscopos	3	3	False	fratres et coepiscopos
collator	prosper contra collator	3	3	False	Prosper contra collator
collection	isidori mercatoris collectione	3	3	False	Isidori Mercatoris collectione
collector	wintoniensis ecclesiae collector	3	3	False	Wintoniensis ecclesiae collector
collegi	bibliotheca collegii	5	5	False	bibliotheca Collegii
color	verisimilitudinis colore	3	3	False	verisimilitudinis colore
concili	actis concilii	3	3	False	actis concilii
concupiscenti	augustini de nuptiis et concupiscentia	3	3	False	Augustini de nuptiis et concupiscentia
concupiscenti	nuptiis et concupiscentia	6	6	False	nuptiis et concupiscentia
